a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
Oui,0,0,1,0000058,12,3,Entrepreunariat,Y,Occasionnel,15,8
Non,0,2,1,0000060,23,4,Marketing,Y,Aucun,8,7
Non,0,1,1,0000061,19,2,Infra & Cloud,Y,Occasionnel,0,0
Non,0,4,1,0000062,5,4,Marketing,Y,Frequent,0,8
Non,0,2,1,0000063,8,1,Infra & Cloud,Y,Occasionnel,0,1
Oui,0,2,1,0000064,1,2,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,3,1,0000065,5,4,Entrepreunariat,Y,Occasionnel,2,2
Non,1,2,1,0000068,1,5,Marketing,Y,Occasionnel,1,3
Non,1,3,1,0000070,11,2,Transformation Digitale,Y,Aucun,2,3
Non,1,2,1,0000072,23,3,Marketing,Y,Occasionnel,0,0
Non,0,1,1,0000073,1,2,Infra & Cloud,Y,Frequent,8,12
Non,1,3,1,0000074,18,5,Infra & Cloud,Y,Frequent,1,8
Non,1,3,1,0000075,23,4,Transformation Digitale,Y,Occasionnel,2,2
Non,1,3,1,0000076,7,4,Infra & Cloud,Y,Occasionnel,1,7
Non,1,2,1,0000077,1,4,Infra & Cloud,Y,Occasionnel,0,7
Non,1,3,1,0000078,1,3,Transformation Digitale,Y,Occasionnel,7,8
Non,0,2,1,0000079,29,5,Infra & Cloud,Y,Frequent,9,9
Non,1,2,1,0000080,7,2,Transformation Digitale,Y,Occasionnel,13,8
Non,0,3,1,0000081,25,3,Infra & Cloud,Y,Occasionnel,7,9
Non,3,2,1,0000083,8,3,Entrepreunariat,Y,Occasionnel,12,8
Non,3,2,1,0000084,8,3,Transformation Digitale,Y,Occasionnel,0,2
Non,0,3,1,0000085,11,3,Infra & Cloud,Y,Frequent,0,3
Non,1,2,1,0000086,7,3,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,0000088,1,3,Transformation Digitale,Y,Frequent,1,2
Oui,1,0,1,0000090,9,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,2,1,0000091,1,1,Infra & Cloud,Y,Frequent,1,3
Non,1,3,1,0000094,2,3,Infra & Cloud,Y,Occasionnel,0,4
Non,0,4,1,0000095,1,4,Transformation Digitale,Y,Occasionnel,1,0
Non,2,3,1,0000096,1,3,Infra & Cloud,Y,Occasionnel,0,9
Non,0,3,1,0000097,6,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,2,1,0000098,8,4,Infra & Cloud,Y,Occasionnel,1,8
Non,0,2,1,00000100,1,4,Marketing,Y,Occasionnel,2,8
Non,0,3,1,00000101,6,4,Autre,Y,Occasionnel,0,0
Non,0,3,1,00000102,7,4,Transformation Digitale,Y,Occasionnel,0,2
Non,1,2,1,00000103,5,2,Transformation Digitale,Y,Occasionnel,0,2
Non,2,1,1,00000104,1,1,Infra & Cloud,Y,Occasionnel,3,0
Non,0,3,1,00000105,1,3,Transformation Digitale,Y,Occasionnel,0,4
Non,1,4,1,00000106,1,2,Infra & Cloud,Y,Occasionnel,1,0
Non,3,3,1,00000107,6,3,Transformation Digitale,Y,Aucun,1,9
Non,0,2,1,00000110,1,2,Transformation Digitale,Y,Occasionnel,1,3
Non,0,3,1,00000112,7,3,Infra & Cloud,Y,Occasionnel,0,2
Non,1,3,1,00000113,2,1,Entrepreunariat,Y,Occasionnel,0,0
Non,2,4,1,00000116,9,4,Infra & Cloud,Y,Occasionnel,0,3
Non,3,3,1,00000117,2,3,Infra & Cloud,Y,Occasionnel,10,8
Oui,0,3,1,00000118,9,2,Transformation Digitale,Y,Occasionnel,4,7
Non,1,3,1,00000119,1,4,Infra & Cloud,Y,Frequent,11,11
Non,0,2,1,00000120,21,4,Marketing,Y,Occasionnel,1,0
Non,3,4,1,00000121,4,2,Transformation Digitale,Y,Occasionnel,2,7
Non,1,5,1,00000124,1,3,Transformation Digitale,Y,Frequent,9,5
Non,0,0,1,00000125,6,4,Transformation Digitale,Y,Occasionnel,5,7
Non,1,5,1,00000126,2,4,Entrepreunariat,Y,Occasionnel,0,3
Non,1,2,1,00000128,3,2,Autre,Y,Occasionnel,0,2
Non,0,3,1,00000129,4,3,Transformation Digitale,Y,Aucun,0,4
Non,0,1,1,00000131,10,4,Transformation Digitale,Y,Occasionnel,1,8
Non,1,3,1,00000132,23,3,Transformation Digitale,Y,Aucun,1,2
Oui,0,3,1,00000133,6,4,Ressources Humaines,Y,Occasionnel,0,2
Non,0,2,1,00000134,1,1,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,5,1,00000137,6,3,Infra & Cloud,Y,Frequent,1,0
Non,0,3,1,00000138,6,4,Autre,Y,Occasionnel,2,10
Non,1,2,1,00000139,2,2,Infra & Cloud,Y,Aucun,0,0
Non,1,3,1,00000140,2,4,Ressources Humaines,Y,Aucun,2,2
Non,0,1,1,00000141,1,3,Infra & Cloud,Y,Frequent,0,7
Oui,0,1,1,00000142,5,3,Marketing,Y,Occasionnel,0,3
Non,2,2,1,00000143,7,1,Transformation Digitale,Y,Occasionnel,2,1
Non,0,5,1,00000144,15,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,1,1,00000145,1,4,Transformation Digitale,Y,Frequent,12,8
Oui,0,3,1,00000147,7,3,Infra & Cloud,Y,Frequent,0,6
Non,0,3,1,00000148,26,3,Ressources Humaines,Y,Aucun,4,4
Non,1,2,1,00000150,18,1,Infra & Cloud,Y,Occasionnel,1,2
Non,1,3,1,00000151,6,4,Infra & Cloud,Y,Occasionnel,0,0
Non,0,3,1,00000152,3,3,Infra & Cloud,Y,Occasionnel,1,3
Non,0,6,1,00000153,5,3,Transformation Digitale,Y,Occasionnel,5,8
Non,1,6,1,00000154,11,2,Entrepreunariat,Y,Frequent,2,8
Non,1,2,1,00000155,3,2,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,00000158,26,2,Infra & Cloud,Y,Frequent,4,12
Non,3,2,1,00000159,23,3,Infra & Cloud,Y,Frequent,0,9
Non,1,2,1,00000160,22,2,Marketing,Y,Aucun,0,7
Oui,3,2,1,00000161,14,4,Infra & Cloud,Y,Occasionnel,4,3
Non,0,5,1,00000162,6,3,Infra & Cloud,Y,Occasionnel,15,15
Oui,0,3,1,00000163,6,4,Infra & Cloud,Y,Occasionnel,7,7
Non,0,3,1,00000164,6,3,Autre,Y,Occasionnel,4,3
Oui,1,3,1,00000165,23,4,Transformation Digitale,Y,Occasionnel,15,6
Oui,0,2,1,00000167,22,1,Marketing,Y,Occasionnel,0,0
Non,1,2,1,00000169,2,1,Entrepreunariat,Y,Occasionnel,2,1
Non,0,2,1,00000170,20,4,Transformation Digitale,Y,Occasionnel,5,11
Non,0,2,1,00000171,28,3,Transformation Digitale,Y,Frequent,1,2
Non,0,3,1,00000174,12,3,Marketing,Y,Frequent,2,1
Oui,1,2,1,00000175,20,3,Infra & Cloud,Y,Occasionnel,2,2
Non,1,2,1,00000176,9,1,Infra & Cloud,Y,Occasionnel,0,7
Non,1,3,1,00000177,25,1,Infra & Cloud,Y,Occasionnel,5,7
Non,2,0,1,00000178,6,2,Transformation Digitale,Y,Occasionnel,0,1
Oui,0,2,1,00000179,8,4,Infra & Cloud,Y,Frequent,0,3
Non,1,1,1,00000182,4,4,Infra & Cloud,Y,Occasionnel,5,9
Non,0,3,1,00000183,28,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,2,1,00000184,9,3,Ressources Humaines,Y,Occasionnel,4,7
Oui,0,2,1,00000190,9,3,Transformation Digitale,Y,Occasionnel,0,4
Non,0,2,1,00000192,29,3,Transformation Digitale,Y,Occasionnel,0,3
Non,0,2,1,00000193,3,5,Entrepreunariat,Y,Occasionnel,2,2
Non,0,4,1,00000194,18,3,Infra & Cloud,Y,Occasionnel,0,4
Non,3,2,1,00000195,9,2,Transformation Digitale,Y,Frequent,0,7
Non,1,3,1,00000197,5,3,Entrepreunariat,Y,Occasionnel,2,2
Non,0,3,1,00000198,2,1,Transformation Digitale,Y,Occasionnel,1,2
Non,1,2,1,00000199,10,3,Infra & Cloud,Y,Frequent,7,7
Non,1,2,1,00000200,9,4,Infra & Cloud,Y,Occasionnel,1,4
Non,0,3,1,00000201,3,1,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,00000202,26,3,Transformation Digitale,Y,Frequent,2,13
Non,2,3,1,00000204,1,5,Marketing,Y,Occasionnel,0,6
Non,1,3,1,00000205,6,2,Marketing,Y,Occasionnel,4,5
Non,1,2,1,00000206,9,3,Infra & Cloud,Y,Occasionnel,0,15
Non,0,2,1,00000207,8,3,Marketing,Y,Frequent,3,7
Non,1,1,1,00000208,1,1,Entrepreunariat,Y,Aucun,0,9
Non,0,2,1,00000211,7,4,Transformation Digitale,Y,Occasionnel,0,0
Non,1,3,1,00000214,9,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,00000215,4,4,Marketing,Y,Occasionnel,2,11
Non,1,3,1,00000216,2,4,Marketing,Y,Frequent,1,2
Non,2,6,1,00000217,19,1,Transformation Digitale,Y,Occasionnel,2,2
Non,1,1,1,00000218,9,3,Transformation Digitale,Y,Aucun,2,2
Non,1,2,1,00000221,21,3,Transformation Digitale,Y,Occasionnel,0,2
Non,1,2,1,00000223,24,2,Infra & Cloud,Y,Occasionnel,1,4
Non,1,2,1,00000224,3,3,Transformation Digitale,Y,Aucun,0,1
Non,0,5,1,00000226,11,3,Infra & Cloud,Y,Occasionnel,4,4
Non,1,2,1,00000227,14,3,Infra & Cloud,Y,Occasionnel,1,8
Non,1,2,1,00000228,5,3,Infra & Cloud,Y,Occasionnel,7,4
Non,0,2,1,00000230,1,4,Infra & Cloud,Y,Occasionnel,0,7
Non,0,2,1,00000231,6,5,Infra & Cloud,Y,Occasionnel,1,4
Non,1,3,1,00000233,17,3,Entrepreunariat,Y,Occasionnel,1,1
Oui,0,5,1,00000235,1,1,Entrepreunariat,Y,Frequent,0,0
Non,0,3,1,00000238,3,2,Transformation Digitale,Y,Frequent,7,2
Non,2,4,1,00000239,9,3,Transformation Digitale,Y,Aucun,6,10
Non,1,3,1,00000240,4,2,Infra & Cloud,Y,Occasionnel,0,3
Non,1,3,1,00000241,8,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,2,1,00000242,2,3,Infra & Cloud,Y,Occasionnel,0,2
Oui,0,3,1,00000243,2,3,Infra & Cloud,Y,Occasionnel,1,0
Non,3,2,1,00000244,1,2,Marketing,Y,Occasionnel,15,7
Non,0,3,1,00000245,9,2,Infra & Cloud,Y,Occasionnel,2,1
Non,1,0,1,00000246,12,1,Transformation Digitale,Y,Occasionnel,0,2
Non,0,3,1,00000247,27,2,Transformation Digitale,Y,Occasionnel,1,2
Oui,0,5,1,00000248,20,2,Marketing,Y,Occasionnel,0,2
Non,1,2,1,00000249,1,3,Transformation Digitale,Y,Occasionnel,0,2
Non,2,3,1,00000250,13,2,Transformation Digitale,Y,Occasionnel,1,3
Non,1,5,1,00000252,14,3,Transformation Digitale,Y,Occasionnel,1,6
Non,1,2,1,00000253,4,1,Transformation Digitale,Y,Occasionnel,9,9
Non,0,3,1,00000254,14,4,Transformation Digitale,Y,Occasionnel,2,15
Non,0,2,1,00000256,2,1,Infra & Cloud,Y,Frequent,1,9
Non,0,6,1,00000258,3,3,Transformation Digitale,Y,Occasionnel,1,0
Non,1,5,1,00000259,1,4,Infra & Cloud,Y,Occasionnel,11,9
Non,0,2,1,00000260,9,3,Transformation Digitale,Y,Occasionnel,0,3
Oui,0,1,1,00000261,23,2,Infra & Cloud,Y,Occasionnel,0,1
Non,3,3,1,00000262,7,3,Transformation Digitale,Y,Aucun,2,2
Non,1,1,1,00000264,2,2,Transformation Digitale,Y,Aucun,11,8
Non,1,3,1,00000267,21,3,Infra & Cloud,Y,Occasionnel,1,7
Non,0,5,1,00000269,2,3,Transformation Digitale,Y,Frequent,1,2
Non,1,5,1,00000270,21,2,Transformation Digitale,Y,Aucun,0,2
Non,0,3,1,00000271,2,4,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,00000273,29,3,Entrepreunariat,Y,Occasionnel,1,7
Non,1,1,1,00000274,1,1,Entrepreunariat,Y,Frequent,2,0
Non,2,0,1,00000275,18,4,Infra & Cloud,Y,Aucun,1,7
Non,1,4,1,00000277,10,4,Transformation Digitale,Y,Frequent,2,0
Non,1,2,1,00000281,19,2,Transformation Digitale,Y,Occasionnel,3,7
Oui,0,2,1,00000282,29,1,Transformation Digitale,Y,Occasionnel,0,0
Oui,3,3,1,00000283,27,3,Marketing,Y,Occasionnel,1,9
Non,1,2,1,00000284,5,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,2,1,00000286,18,1,Transformation Digitale,Y,Frequent,1,7
Non,1,5,1,00000287,9,5,Infra & Cloud,Y,Aucun,0,2
Non,1,3,1,00000288,1,4,Transformation Digitale,Y,Occasionnel,0,3
Oui,0,2,1,00000291,4,4,Transformation Digitale,Y,Occasionnel,9,8
Non,0,2,1,00000292,1,1,Infra & Cloud,Y,Aucun,5,8
Non,0,2,1,00000293,20,3,Infra & Cloud,Y,Frequent,0,7
Non,2,5,1,00000296,8,4,Infra & Cloud,Y,Occasionnel,4,7
Oui,0,5,1,00000297,3,3,Entrepreunariat,Y,Occasionnel,0,4
Non,0,3,1,00000298,6,3,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,5,1,00000299,26,4,Marketing,Y,Frequent,0,1
Oui,0,1,1,00000300,1,3,Entrepreunariat,Y,Occasionnel,1,5
Non,0,2,1,00000302,6,3,Transformation Digitale,Y,Aucun,12,8
Non,1,4,1,00000303,3,3,Marketing,Y,Occasionnel,0,5
Non,0,3,1,00000304,5,2,Infra & Cloud,Y,Occasionnel,3,7
Non,0,3,1,00000305,4,4,Transformation Digitale,Y,Occasionnel,1,1
Non,3,1,1,00000306,11,3,Autre,Y,Frequent,0,7
Non,2,6,1,00000307,3,3,Infra & Cloud,Y,Occasionnel,5,13
Non,1,2,1,00000308,1,4,Transformation Digitale,Y,Aucun,1,4
Non,1,6,1,00000309,3,3,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,00000311,4,4,Marketing,Y,Frequent,5,8
Non,1,5,1,00000312,1,1,Transformation Digitale,Y,Frequent,4,1
Non,0,3,1,00000314,1,3,Marketing,Y,Frequent,0,8
Oui,0,3,1,00000315,18,1,Transformation Digitale,Y,Occasionnel,0,1
Non,0,3,1,00000316,2,3,Infra & Cloud,Y,Occasionnel,2,2
Non,0,3,1,00000319,4,2,Entrepreunariat,Y,Occasionnel,11,15
Non,0,2,1,00000321,6,2,Transformation Digitale,Y,Occasionnel,2,2
Non,1,3,1,00000323,1,4,Transformation Digitale,Y,Occasionnel,0,6
Oui,1,2,1,00000325,14,3,Transformation Digitale,Y,Occasionnel,0,4
Non,1,3,1,00000327,16,3,Marketing,Y,Occasionnel,1,9
Oui,0,3,1,00000328,2,2,Infra & Cloud,Y,Occasionnel,1,7
Non,0,2,1,00000329,2,4,Infra & Cloud,Y,Aucun,15,12
Non,1,5,1,00000330,4,2,Infra & Cloud,Y,Occasionnel,1,2
Oui,0,2,1,00000331,1,3,Infra & Cloud,Y,Occasionnel,1,2
Non,3,1,1,00000332,1,4,Transformation Digitale,Y,Occasionnel,1,2
Non,0,2,1,00000333,26,4,Marketing,Y,Aucun,2,2
Non,2,2,1,00000334,19,2,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,00000335,24,2,Entrepreunariat,Y,Occasionnel,4,7
Non,1,2,1,00000336,1,3,Autre,Y,Occasionnel,1,7
Non,1,3,1,00000337,3,4,Transformation Digitale,Y,Frequent,2,2
Non,1,2,1,00000338,5,4,Infra & Cloud,Y,Occasionnel,0,2
Non,1,3,1,00000339,2,4,Infra & Cloud,Y,Occasionnel,5,9
Non,1,2,1,00000340,1,2,Transformation Digitale,Y,Occasionnel,0,2
Non,1,1,1,00000341,7,4,Infra & Cloud,Y,Frequent,0,2
Oui,2,5,1,00000342,10,3,Transformation Digitale,Y,Frequent,0,0
Non,0,1,1,00000343,2,4,Entrepreunariat,Y,Frequent,11,8
Non,0,1,1,00000346,15,3,Infra & Cloud,Y,Occasionnel,1,5
Non,0,1,1,00000347,17,2,Infra & Cloud,Y,Occasionnel,0,2
Non,1,2,1,00000349,20,2,Marketing,Y,Occasionnel,0,2
Non,2,3,1,00000350,1,3,Infra & Cloud,Y,Occasionnel,1,2
Non,1,4,1,00000351,2,3,Transformation Digitale,Y,Occasionnel,7,8
Non,1,5,1,00000352,2,2,Transformation Digitale,Y,Occasionnel,3,9
Non,0,0,1,00000353,1,3,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,00000355,29,2,Transformation Digitale,Y,Frequent,1,4
Non,0,3,1,00000359,7,3,Infra & Cloud,Y,Frequent,0,3
Non,1,0,1,00000361,2,2,Infra & Cloud,Y,Aucun,7,5
Non,0,5,1,00000362,2,1,Entrepreunariat,Y,Occasionnel,0,4
Non,1,2,1,00000363,2,3,Entrepreunariat,Y,Occasionnel,7,7
Oui,0,5,1,00000364,2,4,Infra & Cloud,Y,Occasionnel,0,0
Non,2,2,1,00000366,2,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,00000367,23,3,Transformation Digitale,Y,Occasionnel,7,8
Non,2,2,1,00000369,5,2,Infra & Cloud,Y,Aucun,1,5
Non,0,2,1,00000372,20,2,Transformation Digitale,Y,Occasionnel,4,10
Non,1,4,1,00000373,6,3,Infra & Cloud,Y,Occasionnel,10,11
Non,0,2,1,00000374,1,3,Transformation Digitale,Y,Occasionnel,4,13
Oui,1,2,1,00000376,29,4,Infra & Cloud,Y,Aucun,9,9
Non,1,3,1,00000377,9,3,Transformation Digitale,Y,Occasionnel,0,4
Non,1,5,1,00000378,6,4,Transformation Digitale,Y,Occasionnel,0,1
Non,0,4,1,00000379,3,2,Transformation Digitale,Y,Occasionnel,1,0
Non,2,2,1,00000380,1,4,Transformation Digitale,Y,Aucun,0,2
Non,1,6,1,00000381,22,3,Infra & Cloud,Y,Occasionnel,6,2
Non,1,3,1,00000382,7,2,Transformation Digitale,Y,Occasionnel,7,7
Non,1,6,1,00000384,1,3,Infra & Cloud,Y,Frequent,1,4
Non,2,4,1,00000385,4,1,Infra & Cloud,Y,Occasionnel,1,6
Non,3,5,1,00000386,3,4,Transformation Digitale,Y,Occasionnel,1,3
Non,0,3,1,00000387,1,1,Infra & Cloud,Y,Occasionnel,11,6
Non,0,3,1,00000388,2,2,Infra & Cloud,Y,Frequent,0,9
Non,1,4,1,00000389,20,2,Entrepreunariat,Y,Occasionnel,0,8
Non,1,3,1,00000390,11,2,Transformation Digitale,Y,Frequent,3,3
Non,0,3,1,00000391,1,3,Infra & Cloud,Y,Occasionnel,5,7
Oui,1,0,1,00000392,24,3,Infra & Cloud,Y,Frequent,0,0
Non,1,2,1,00000393,23,4,Infra & Cloud,Y,Occasionnel,1,2
Oui,1,2,1,00000394,16,4,Transformation Digitale,Y,Occasionnel,0,2
Non,0,3,1,00000395,8,2,Infra & Cloud,Y,Occasionnel,0,2
Non,0,4,1,00000396,10,4,Infra & Cloud,Y,Frequent,1,2
Non,0,2,1,00000397,3,3,Entrepreunariat,Y,Occasionnel,7,7
Non,1,5,1,00000399,5,3,Marketing,Y,Frequent,2,2
Oui,0,0,1,00000401,4,4,Marketing,Y,Occasionnel,7,4
Non,3,3,1,00000403,9,3,Transformation Digitale,Y,Frequent,1,2
Non,1,2,1,00000404,26,3,Marketing,Y,Frequent,4,8
Oui,0,2,1,00000405,3,3,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,00000406,16,3,Marketing,Y,Occasionnel,6,9
Non,2,2,1,00000407,18,4,Infra & Cloud,Y,Frequent,0,0
Non,1,3,1,00000408,2,3,Transformation Digitale,Y,Occasionnel,1,2
Non,0,2,1,00000410,2,4,Infra & Cloud,Y,Occasionnel,0,4
Non,0,2,1,00000411,10,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,2,1,00000412,16,2,Transformation Digitale,Y,Occasionnel,0,7
Non,1,3,1,00000416,7,3,Entrepreunariat,Y,Occasionnel,7,7
Non,3,5,1,00000417,1,3,Transformation Digitale,Y,Occasionnel,3,7
Non,1,3,1,00000419,24,4,Infra & Cloud,Y,Aucun,0,8
Non,1,3,1,00000420,7,3,Infra & Cloud,Y,Occasionnel,4,8
Non,1,2,1,00000421,25,2,Infra & Cloud,Y,Occasionnel,0,1
Non,1,2,1,00000422,1,4,Infra & Cloud,Y,Aucun,1,2
Non,1,4,1,00000423,5,4,Entrepreunariat,Y,Occasionnel,0,3
Non,0,1,1,00000424,2,3,Ressources Humaines,Y,Occasionnel,1,0
Non,1,2,1,00000425,7,3,Infra & Cloud,Y,Frequent,9,11
Non,1,2,1,00000426,2,4,Infra & Cloud,Y,Occasionnel,2,2
Non,2,2,1,00000428,5,4,Infra & Cloud,Y,Frequent,8,8
Non,0,3,1,00000429,10,1,Transformation Digitale,Y,Occasionnel,11,10
Non,0,5,1,00000430,10,4,Infra & Cloud,Y,Frequent,1,7
Non,0,2,1,00000431,1,2,Entrepreunariat,Y,Occasionnel,0,7
Oui,0,3,1,00000433,8,4,Transformation Digitale,Y,Occasionnel,7,7
Non,0,2,1,00000434,5,3,Infra & Cloud,Y,Occasionnel,1,2
Non,0,2,1,00000436,8,2,Entrepreunariat,Y,Occasionnel,11,9
Non,0,3,1,00000437,2,3,Infra & Cloud,Y,Occasionnel,0,4
Non,3,3,1,00000438,7,3,Marketing,Y,Occasionnel,1,7
Non,0,0,1,00000439,2,4,Transformation Digitale,Y,Occasionnel,0,7
Oui,0,4,1,00000440,2,4,Transformation Digitale,Y,Occasionnel,2,2
Non,2,2,1,00000441,28,2,Transformation Digitale,Y,Occasionnel,1,9
Non,1,2,1,00000442,7,2,Infra & Cloud,Y,Frequent,8,9
Non,1,2,1,00000444,7,2,Transformation Digitale,Y,Frequent,13,3
Oui,0,3,1,00000445,3,2,Transformation Digitale,Y,Occasionnel,0,0
Non,0,6,1,00000446,10,3,Marketing,Y,Frequent,0,1
Non,1,2,1,00000447,5,5,Infra & Cloud,Y,Occasionnel,1,1
Non,1,3,1,00000448,10,4,Infra & Cloud,Y,Frequent,0,0
Non,1,0,1,00000449,1,1,Marketing,Y,Aucun,1,4
Non,0,4,1,00000450,20,4,Infra & Cloud,Y,Frequent,0,3
Non,1,1,1,00000451,7,3,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,00000452,8,4,Autre,Y,Occasionnel,9,8
Non,3,2,1,00000453,1,2,Transformation Digitale,Y,Occasionnel,0,2
Oui,0,4,1,00000454,8,4,Autre,Y,Occasionnel,0,7
Non,0,2,1,00000455,9,5,Autre,Y,Occasionnel,2,2
Non,3,2,1,00000456,5,3,Marketing,Y,Occasionnel,1,2
Non,1,3,1,00000458,8,4,Marketing,Y,Occasionnel,0,7
Non,2,2,1,00000460,5,2,Transformation Digitale,Y,Occasionnel,0,4
Non,1,3,1,00000461,15,2,Infra & Cloud,Y,Occasionnel,2,9
Non,0,2,1,00000462,7,4,Transformation Digitale,Y,Occasionnel,4,10
Non,2,2,1,00000463,10,1,Marketing,Y,Occasionnel,1,7
Non,0,5,1,00000464,5,4,Entrepreunariat,Y,Occasionnel,0,13
Non,2,2,1,00000465,26,1,Infra & Cloud,Y,Occasionnel,0,2
Non,0,3,1,00000466,6,3,Transformation Digitale,Y,Occasionnel,1,2
Non,0,3,1,00000467,4,1,Transformation Digitale,Y,Frequent,0,0
Non,0,2,1,00000468,23,5,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,00000469,2,3,Infra & Cloud,Y,Aucun,0,2
Non,1,5,1,00000470,2,1,Entrepreunariat,Y,Occasionnel,1,0
Non,1,4,1,00000471,2,3,Transformation Digitale,Y,Occasionnel,0,7
Non,1,3,1,00000473,29,1,Transformation Digitale,Y,Occasionnel,0,0
