id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel
73,33,F,13458,Célibataire,Consulting,Directeur Technique,1,80,15,15,14
74,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,80,9,9,8
75,35,F,4014,Marié(e),Consulting,Consultant,3,80,4,2,2
76,31,M,5915,Divorcé(e),Consulting,Consultant,3,80,10,7,7
77,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,80,7,7,5
78,32,M,6162,Marié(e),Consulting,Tech Lead,1,80,9,9,8
79,38,F,2406,Célibataire,Consulting,Consultant,1,80,10,10,3
80,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,80,29,27,3
81,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,80,28,21,16
83,36,F,10096,Divorcé(e),Consulting,Manager,1,80,17,17,14
84,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,80,21,5,0
85,36,M,6499,Célibataire,Consulting,Tech Lead,1,80,6,6,5
86,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,80,25,1,0
88,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,80,5,3,2
90,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,80,2,1,0
91,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,80,20,4,3
94,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,80,6,5,4
95,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,80,1,1,1
96,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,80,10,10,4
97,36,F,3038,Marié(e),Consulting,Consultant,3,80,5,1,0
98,31,F,4424,Célibataire,Consulting,Tech Lead,1,80,11,11,7
100,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,80,16,15,13
101,45,M,13245,Marié(e),Consulting,Directeur Technique,4,80,17,0,0
102,37,M,13664,Célibataire,Consulting,Directeur Technique,4,80,16,5,2
103,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,80,16,4,2
104,30,M,5126,Marié(e),Consulting,Consultant,1,80,10,10,8
105,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,80,6,6,4
106,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,80,24,1,0
107,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,80,17,13,11
110,34,M,4325,Marié(e),Consulting,Tech Lead,1,80,5,5,2
112,56,M,7260,Célibataire,Consulting,Tech Lead,4,80,37,6,4
113,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,80,3,0,0
116,51,M,2075,Marié(e),Consulting,Consultant,3,80,10,4,2
117,30,M,4152,Marié(e),Consulting,Manager,1,80,11,11,10
118,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8
119,40,M,13503,Marié(e),Consulting,Manager,1,80,22,22,3
120,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,80,11,10,7
121,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,80,11,11,8
124,46,M,10673,Marié(e),Consulting,Manager,2,80,21,10,9
125,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,80,12,11,8
126,54,F,13549,Marié(e),Consulting,Directeur Technique,9,80,16,4,3
128,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2
129,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,80,5,5,4
131,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,80,38,37,10
132,44,M,2042,Marié(e),Consulting,Consultant,4,80,17,3,2
133,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,80,7,3,2
134,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0
137,20,F,2926,Célibataire,Consulting,Consultant,1,80,1,1,0
138,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,80,16,16,13
139,37,M,5163,Divorcé(e),Consulting,Manager,5,80,17,1,0
140,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,80,30,3,2
141,50,F,18172,Marié(e),Consulting,Directeur Technique,3,80,28,8,3
142,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,80,6,6,4
143,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2
144,22,F,2871,Célibataire,Consulting,Consultant,1,80,1,0,0
145,51,F,7484,Célibataire,Consulting,Manager,3,80,23,13,12
147,34,M,6074,Célibataire,Consulting,Consultant,1,80,9,9,7
148,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,80,23,5,3
150,24,M,2774,Marié(e),Consulting,Consultant,0,80,6,5,3
151,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,80,12,1,0
152,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,80,12,5,3
153,34,F,11631,Célibataire,Consulting,Senior Manager,2,80,14,11,10
154,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7
155,36,F,2835,Divorcé(e),Consulting,Consultant,5,80,7,1,0
158,43,M,16959,Marié(e),Commercial,Senior Manager,1,80,25,25,12
159,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,80,10,10,7
160,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,80,8,7,7
161,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,80,7,5,4
162,51,M,19537,Célibataire,Consulting,Directeur Technique,7,80,23,20,18
163,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,80,12,7,7
164,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,80,5,5,4
165,58,F,10312,Marié(e),Consulting,Manager,1,80,40,40,10
167,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0
169,22,M,2523,Marié(e),Consulting,Consultant,0,80,3,2,1
170,49,F,6567,Marié(e),Consulting,Tech Lead,1,80,16,15,11
171,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,80,18,3,2
174,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,80,16,2,2
175,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,80,4,2,2
176,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,80,12,9,7
177,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,80,8,8,7
178,36,M,4941,Divorcé(e),Consulting,Tech Lead,6,80,7,3,2
179,51,M,10650,Célibataire,Consulting,Tech Lead,2,80,18,4,2
182,39,F,5902,Marié(e),Commercial,Cadre Commercial,4,80,17,15,11
183,25,M,8639,Marié(e),Commercial,Cadre Commercial,2,80,6,2,2
184,30,M,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,80,12,11,9
190,32,F,4200,Célibataire,Consulting,Consultant,7,80,10,5,4
192,45,M,3452,Célibataire,Consulting,Assistant de Direction,5,80,9,6,5
193,38,F,4317,Célibataire,Consulting,Assistant de Direction,3,80,19,3,2
194,30,F,2632,Célibataire,Consulting,Assistant de Direction,1,80,5,5,4
195,32,M,4668,Divorcé(e),Commercial,Cadre Commercial,0,80,9,8,7
197,30,F,3204,Divorcé(e),Consulting,Assistant de Direction,5,80,8,3,2
198,30,M,2720,Célibataire,Consulting,Consultant,0,80,6,5,3
199,41,M,17181,Divorcé(e),Consulting,Senior Manager,4,80,21,7,6
200,41,M,2238,Marié(e),Consulting,Consultant,2,80,7,5,0
201,19,F,1483,Célibataire,Consulting,Consultant,1,80,1,1,0
202,40,F,5605,Divorcé(e),Consulting,Assistant de Direction,1,80,20,20,7
204,35,M,7295,Marié(e),Commercial,Cadre Commercial,1,80,10,10,8
205,53,M,2306,Marié(e),Commercial,Représentant Commercial,2,80,13,7,7
206,45,M,2348,Divorcé(e),Consulting,Consultant,8,80,20,17,9
207,32,F,8998,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8
208,29,M,4319,Marié(e),Consulting,Tech Lead,1,80,10,10,7
211,51,M,6132,Marié(e),Consulting,Tech Lead,2,80,10,1,0
214,58,F,3346,Marié(e),Consulting,Assistant de Direction,4,80,9,1,0
215,40,M,10855,Marié(e),Commercial,Cadre Commercial,7,80,15,12,11
216,34,F,2231,Marié(e),Commercial,Représentant Commercial,6,80,6,4,3
217,22,M,2323,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2
218,27,M,2024,Divorcé(e),Consulting,Assistant de Direction,6,80,6,2,2
221,28,M,2713,Marié(e),Consulting,Assistant de Direction,1,80,5,5,2
223,57,M,9439,Divorcé(e),Consulting,Manager,3,80,12,5,3
224,27,M,2566,Divorcé(e),Consulting,Assistant de Direction,1,80,1,1,1
226,50,F,19926,Célibataire,Consulting,Senior Manager,3,80,21,5,4
227,41,M,2451,Divorcé(e),Consulting,Assistant de Direction,4,80,13,9,8
228,30,F,9419,Marié(e),Commercial,Cadre Commercial,2,80,12,10,9
230,38,F,8686,Célibataire,Commercial,Cadre Commercial,4,80,12,8,3
231,32,M,3038,Célibataire,Consulting,Assistant de Direction,3,80,8,5,4
233,27,M,3058,Marié(e),Consulting,Assistant de Direction,0,80,6,5,2
235,19,F,2325,Célibataire,Commercial,Représentant Commercial,0,80,1,0,0
238,36,M,2088,Célibataire,Consulting,Consultant,4,80,13,8,7
239,30,M,3072,Divorcé(e),Consulting,Consultant,1,80,12,12,9
240,45,F,5006,Divorcé(e),Commercial,Cadre Commercial,4,80,9,5,4
241,56,F,4257,Divorcé(e),Consulting,Assistant de Direction,4,80,19,2,2
242,33,M,2500,Célibataire,Consulting,Assistant de Direction,0,80,4,3,1
243,19,M,1102,Célibataire,Consulting,Consultant,1,80,1,1,0
244,46,F,10453,Divorcé(e),Commercial,Cadre Commercial,1,80,24,24,13
245,38,F,2288,Célibataire,Consulting,Consultant,1,80,2,2,2
246,31,F,3929,Marié(e),Consulting,Assistant de Direction,8,80,7,4,2
247,34,F,2311,Célibataire,Consulting,Assistant de Direction,2,80,9,3,2
248,41,F,3140,Célibataire,Commercial,Représentant Commercial,1,80,4,4,3
249,50,M,3690,Marié(e),Consulting,Consultant,2,80,5,3,2
250,53,F,4450,Divorcé(e),Consulting,Tech Lead,1,80,5,4,2
252,33,F,2756,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7
253,40,F,19033,Marié(e),Consulting,Senior Manager,1,80,21,20,8
254,55,M,18722,Célibataire,Consulting,Directeur Technique,8,80,36,24,15
256,34,M,9547,Marié(e),Consulting,Tech Lead,1,80,10,10,9
258,51,F,13734,Célibataire,Consulting,Manager,3,80,21,7,7
259,52,M,19999,Marié(e),Consulting,Senior Manager,0,80,34,33,18
260,27,F,2279,Célibataire,Consulting,Assistant de Direction,1,80,7,7,7
261,35,M,5916,Marié(e),Consulting,Tech Lead,3,80,8,1,0
262,43,M,2089,Divorcé(e),Consulting,Assistant de Direction,4,80,7,5,4
264,45,M,16792,Marié(e),Consulting,Senior Manager,9,80,22,20,8
267,37,M,3564,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7
269,35,F,4425,Célibataire,Consulting,Consultant,5,80,10,6,2
270,42,F,5265,Divorcé(e),Consulting,Tech Lead,2,80,11,5,3
271,38,M,6553,Marié(e),Consulting,Tech Lead,9,80,14,1,0
273,38,M,6261,Marié(e),Consulting,Tech Lead,3,80,9,7,7
274,27,M,4298,Marié(e),Consulting,Tech Lead,5,80,6,2,2
275,49,M,6804,Divorcé(e),Consulting,Tech Lead,1,80,7,7,7
277,34,M,3815,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,3
281,40,M,2741,Marié(e),Consulting,Consultant,8,80,15,7,2
282,38,M,6673,Marié(e),Consulting,Manager,7,80,17,1,0
283,29,F,7639,Marié(e),Commercial,Cadre Commercial,1,80,10,10,4
284,22,M,2328,Divorcé(e),Consulting,Assistant de Direction,1,80,4,4,2
286,36,F,2153,Célibataire,Consulting,Consultant,1,80,8,8,1
287,40,M,4876,Marié(e),Consulting,Manager,9,80,5,3,2
288,46,M,9396,Divorcé(e),Consulting,Manager,7,80,17,4,2
291,32,M,10400,Marié(e),Commercial,Cadre Commercial,1,80,14,14,8
292,30,M,8474,Célibataire,Consulting,Tech Lead,1,80,12,11,8
293,27,F,9981,Célibataire,Commercial,Cadre Commercial,1,80,7,7,7
296,51,M,12490,Marié(e),Consulting,Directeur Technique,5,80,16,10,9
297,30,F,2657,Célibataire,Consulting,Assistant de Direction,5,80,8,5,2
298,41,F,13591,Célibataire,Commercial,Senior Manager,3,80,16,1,0
299,30,F,6696,Célibataire,Commercial,Cadre Commercial,5,80,9,6,3
300,29,M,2058,Célibataire,Consulting,Assistant de Direction,0,80,7,6,2
302,45,F,8865,Célibataire,Commercial,Cadre Commercial,6,80,23,19,7
303,54,F,5940,Marié(e),Commercial,Cadre Commercial,2,80,16,6,2
304,36,M,5914,Célibataire,Consulting,Consultant,8,80,16,13,11
305,33,F,2622,Marié(e),Consulting,Assistant de Direction,6,80,7,3,2
306,37,M,12185,Divorcé(e),Consulting,Directeur Technique,1,80,10,10,8
307,38,M,10609,Divorcé(e),Commercial,Cadre Commercial,0,80,17,16,10
308,31,M,4345,Marié(e),Consulting,Tech Lead,0,80,6,5,4
309,59,M,2177,Marié(e),Consulting,Assistant de Direction,3,80,7,1,0
311,37,M,2793,Divorcé(e),Commercial,Représentant Commercial,4,80,13,9,8
312,29,F,7918,Marié(e),Commercial,Cadre Commercial,1,80,11,11,10
314,35,F,8789,Célibataire,Commercial,Cadre Commercial,1,80,10,10,7
315,29,M,2389,Célibataire,Consulting,Assistant de Direction,1,80,4,4,3
316,52,F,3212,Célibataire,Consulting,Consultant,7,80,6,2,2
319,42,M,19232,Marié(e),Consulting,Senior Manager,1,80,22,22,17
321,59,M,2267,Marié(e),Ressources Humaines,Ressources Humaines,8,80,7,2,2
323,50,F,19517,Divorcé(e),Commercial,Senior Manager,3,80,32,7,0
325,33,M,2436,Marié(e),Consulting,Consultant,5,80,8,5,4
327,43,F,16064,Marié(e),Commercial,Senior Manager,5,80,22,17,13
328,33,F,2707,Marié(e),Consulting,Consultant,7,80,13,9,7
329,52,M,19068,Célibataire,Commercial,Senior Manager,1,80,33,33,7
330,32,F,3931,Marié(e),Commercial,Représentant Commercial,2,80,6,4,3
331,32,M,3730,Célibataire,Consulting,Consultant,0,80,4,3,2
332,39,F,2232,Divorcé(e),Consulting,Consultant,7,80,7,3,2
333,32,M,4465,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2
334,41,M,3072,Divorcé(e),Consulting,Assistant de Direction,2,80,17,1,0
335,40,M,3319,Divorcé(e),Consulting,Assistant de Direction,1,80,9,9,8
336,45,M,19202,Marié(e),Consulting,Senior Manager,0,80,25,24,0
337,31,M,13675,Divorcé(e),Consulting,Directeur Technique,9,80,9,2,2
338,33,F,2911,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2
339,34,M,5957,Marié(e),Consulting,Tech Lead,6,80,13,11,9
340,37,F,3920,Marié(e),Consulting,Assistant de Direction,2,80,17,3,1
341,45,M,6434,Marié(e),Consulting,Tech Lead,4,80,9,3,2
342,37,M,10048,Divorcé(e),Consulting,Tech Lead,6,80,17,1,0
343,39,F,10938,Célibataire,Consulting,Manager,0,80,20,19,6
346,29,M,2340,Célibataire,Consulting,Assistant de Direction,1,80,6,6,5
347,42,F,6545,Célibataire,Consulting,Assistant de Direction,3,80,10,3,2
349,29,M,6931,Divorcé(e),Commercial,Cadre Commercial,2,80,10,3,2
350,25,F,4898,Marié(e),Consulting,Tech Lead,0,80,5,4,2
351,42,F,2593,Divorcé(e),Consulting,Consultant,0,80,10,9,6
352,40,M,19436,Divorcé(e),Consulting,Directeur Technique,0,80,22,21,7
353,51,M,2723,Marié(e),Consulting,Assistant de Direction,1,80,1,1,0
355,31,M,3479,Célibataire,Consulting,Consultant,0,80,6,5,4
359,32,M,2794,Marié(e),Consulting,Consultant,1,80,5,5,1
361,38,M,5249,Marié(e),Commercial,Cadre Commercial,3,80,13,8,7
362,32,M,2176,Célibataire,Consulting,Consultant,4,80,9,6,2
363,46,F,16872,Marié(e),Commercial,Senior Manager,3,80,28,7,7
364,28,M,3485,Célibataire,Consulting,Consultant,2,80,5,0,0
366,29,M,6644,Marié(e),Commercial,Cadre Commercial,2,80,10,0,0
367,31,M,5582,Marié(e),Consulting,Manager,0,80,10,9,0
369,25,M,4000,Divorcé(e),Consulting,Manager,1,80,6,6,3
372,45,M,13496,Marié(e),Consulting,Manager,0,80,21,20,7
373,36,M,3210,Marié(e),Consulting,Consultant,0,80,16,15,13
374,55,M,19045,Célibataire,Consulting,Senior Manager,0,80,37,36,10
376,47,M,11849,Marié(e),Consulting,Senior Manager,1,80,10,10,7
377,28,M,2070,Marié(e),Consulting,Assistant de Direction,1,80,5,5,2
378,37,M,6502,Marié(e),Commercial,Cadre Commercial,4,80,7,5,4
379,21,M,3230,Célibataire,Consulting,Assistant de Direction,1,80,3,3,2
380,37,F,13603,Divorcé(e),Consulting,Directeur Technique,2,80,15,5,2
381,35,F,11996,Divorcé(e),Consulting,Senior Manager,7,80,10,7,7
382,38,F,5605,Divorcé(e),Commercial,Cadre Commercial,1,80,8,8,0
384,26,F,6397,Divorcé(e),Consulting,Tech Lead,1,80,6,6,5
385,50,M,19144,Divorcé(e),Consulting,Directeur Technique,3,80,28,10,4
386,53,M,17584,Marié(e),Consulting,Directeur Technique,3,80,21,5,3
387,42,M,4907,Marié(e),Commercial,Cadre Commercial,1,80,20,20,16
388,29,M,4554,Célibataire,Commercial,Cadre Commercial,1,80,10,10,7
389,55,M,5415,Marié(e),Consulting,Consultant,3,80,12,10,7
390,26,M,4741,Marié(e),Consulting,Manager,1,80,5,5,3
391,37,F,2115,Célibataire,Consulting,Assistant de Direction,1,80,17,17,12
392,44,M,3161,Divorcé(e),Consulting,Consultant,3,80,19,1,0
393,38,M,5745,Divorcé(e),Consulting,Manager,9,80,10,2,2
394,26,M,2373,Divorcé(e),Consulting,Consultant,2,80,5,3,2
395,28,F,3310,Célibataire,Consulting,Assistant de Direction,1,80,5,5,3
396,49,F,18665,Célibataire,Consulting,Directeur Technique,9,80,22,3,2
397,36,M,4485,Célibataire,Consulting,Assistant de Direction,4,80,10,8,0
399,31,F,2789,Divorcé(e),Commercial,Représentant Commercial,1,80,2,2,2
401,26,M,5828,Célibataire,Commercial,Cadre Commercial,1,80,8,8,7
403,37,M,2326,Marié(e),Consulting,Assistant de Direction,1,80,4,4,2
404,42,F,13525,Marié(e),Commercial,Cadre Commercial,5,80,23,20,4
405,18,M,1420,Célibataire,Consulting,Consultant,1,80,0,0,0
406,35,M,8020,Marié(e),Commercial,Cadre Commercial,0,80,12,11,9
407,36,M,3688,Marié(e),Consulting,Consultant,4,80,4,1,0
408,51,M,5482,Divorcé(e),Consulting,Tech Lead,5,80,13,4,1
410,41,M,16015,Célibataire,Commercial,Senior Manager,1,80,22,22,10
411,18,F,1200,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0
412,28,M,5661,Célibataire,Consulting,Manager,0,80,9,8,3
416,31,M,6929,Marié(e),Commercial,Cadre Commercial,4,80,10,8,7
417,39,M,9613,Divorcé(e),Consulting,Manager,0,80,19,18,10
419,36,F,5674,Marié(e),Consulting,Consultant,7,80,11,9,8
420,32,M,5484,Marié(e),Commercial,Cadre Commercial,1,80,13,13,8
421,38,F,12061,Marié(e),Consulting,Directeur Technique,3,80,19,10,8
422,58,M,5660,Divorcé(e),Consulting,Manager,2,80,12,5,3
423,31,M,4821,Marié(e),Consulting,Assistant de Direction,0,80,6,5,2
424,31,M,6410,Marié(e),Ressources Humaines,Ressources Humaines,3,80,9,2,2
425,45,M,5210,Divorcé(e),Consulting,Consultant,1,80,24,24,9
426,31,M,2695,Divorcé(e),Consulting,Assistant de Direction,0,80,3,2,2
428,33,F,11878,Marié(e),Consulting,Senior Manager,6,80,12,10,6
429,39,M,17068,Marié(e),Consulting,Senior Manager,1,80,21,21,9
430,43,F,2455,Célibataire,Consulting,Consultant,0,80,9,8,7
431,49,F,13964,Célibataire,Consulting,Manager,7,80,25,7,1
433,52,M,4941,Marié(e),Consulting,Assistant de Direction,2,80,11,8,2
434,27,F,2478,Célibataire,Consulting,Assistant de Direction,1,80,4,4,3
436,32,F,5228,Marié(e),Commercial,Cadre Commercial,1,80,13,13,12
437,27,M,4478,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4
438,31,M,7547,Divorcé(e),Commercial,Cadre Commercial,4,80,13,7,7
439,32,F,5055,Célibataire,Consulting,Assistant de Direction,7,80,10,7,7
440,28,M,3464,Marié(e),Consulting,Assistant de Direction,5,80,5,3,2
441,30,F,5775,Marié(e),Consulting,Assistant de Direction,1,80,11,10,8
442,31,F,8943,Marié(e),Consulting,Tech Lead,1,80,10,10,9
444,39,M,19272,Marié(e),Consulting,Senior Manager,1,80,21,21,9
445,39,F,5238,Marié(e),Commercial,Cadre Commercial,4,80,12,1,0
446,33,M,4682,Célibataire,Commercial,Cadre Commercial,3,80,9,7,7
447,47,M,18300,Marié(e),Consulting,Directeur Technique,4,80,21,3,2
448,43,F,5257,Divorcé(e),Consulting,Consultant,1,80,9,9,7
449,27,M,6349,Marié(e),Commercial,Cadre Commercial,0,80,6,5,4
450,54,F,4869,Célibataire,Consulting,Assistant de Direction,3,80,20,4,3
451,43,F,9985,Marié(e),Consulting,Manager,8,80,10,1,0
452,45,M,3697,Marié(e),Consulting,Assistant de Direction,9,80,12,10,9
453,40,M,7457,Marié(e),Commercial,Cadre Commercial,2,80,6,4,3
454,29,M,2119,Marié(e),Consulting,Consultant,1,80,7,7,7
455,29,M,3983,Célibataire,Consulting,Consultant,0,80,4,3,2
456,30,F,6118,Divorcé(e),Commercial,Cadre Commercial,1,80,10,10,9
458,27,F,6214,Marié(e),Commercial,Cadre Commercial,1,80,8,8,7
460,37,M,6347,Divorcé(e),Consulting,Tech Lead,7,80,8,6,2
461,38,M,11510,Divorcé(e),Consulting,Directeur Technique,0,80,12,11,10
462,31,F,7143,Célibataire,Consulting,Tech Lead,1,80,11,11,9
463,29,F,8268,Divorcé(e),Commercial,Cadre Commercial,1,80,7,7,7
464,35,M,8095,Célibataire,Consulting,Tech Lead,0,80,17,16,6
465,23,M,2904,Divorcé(e),Consulting,Assistant de Direction,1,80,4,4,2
466,41,M,6032,Célibataire,Consulting,Tech Lead,6,80,8,5,4
467,47,M,2976,Célibataire,Commercial,Représentant Commercial,3,80,5,0,0
468,42,F,15992,Célibataire,Consulting,Directeur Technique,2,80,16,1,0
469,29,M,4649,Marié(e),Commercial,Cadre Commercial,1,80,4,4,3
470,42,M,2696,Divorcé(e),Ressources Humaines,Ressources Humaines,0,80,4,3,2
471,32,F,2370,Marié(e),Consulting,Consultant,1,80,8,8,0
473,48,F,12504,Marié(e),Commercial,Senior Manager,3,80,15,0,0
474,37,M,5974,Divorcé(e),Consulting,Assistant de Direction,4,80,13,7,7
475,30,F,4736,Marié(e),Commercial,Cadre Commercial,7,80,4,2,2
476,26,M,5296,Marié(e),Commercial,Cadre Commercial,1,80,8,8,7
477,42,M,6781,Célibataire,Consulting,Manager,3,80,14,1,0
478,21,F,2174,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2
479,36,F,6653,Célibataire,Commercial,Cadre Commercial,4,80,7,1,0
481,36,M,9699,Marié(e),Commercial,Cadre Commercial,4,80,16,13,9
482,57,M,6755,Marié(e),Consulting,Manager,2,80,15,3,2
483,40,F,2213,Marié(e),Consulting,Consultant,3,80,10,7,7
484,21,M,2610,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2
